,distance_function,mask,prealign,preprocess,postprocess,postalign,cam,eer
298,miura,fing,id,hist,id,id,1,0.19
299,rsd,edge,id,id,skel,CoM,1,0.19
300,skel,edge,id,id,skel,CoM,1,0.19
301,skel,edge,id,id,id,miura,1,0.19
302,skel,edge,id,hist,skel,CoM,2,0.191
303,rsd,edge,huang,id,skel,CoM,1,0.191
304,skel,fing,huang,hist,skel,id,2,0.191
305,miura,fing,huang,id,skel,id,2,0.191
306,rsd,edge,huang,id,skel,id,2,0.191
307,rsd,edge,huang,hist,id,id,1,0.191
308,rsd,edge,trans,id,skel,CoM,1,0.192
309,miura,edge,h + f,hist,id,CoM,1,0.192
310,skel,edge,h + f,hist,skel,CoM,2,0.192
311,miura,edge,h + f,hist,id,id,1,0.192
312,hd,fing,id,hist,skel,id,1,0.193
313,skel,edge,h + f,id,skel,id,2,0.193
314,rsd,edge,h + f,id,skel,id,2,0.193
315,skel,fing,h + f,id,id,miura,1,0.193
316,skel,edge,trans,id,skel,id,2,0.193
317,hd,fing,huang,hist,skel,id,2,0.195
318,skel,edge,huang,hist,skel,CoM,2,0.195
319,rsd,edge,h + f,id,skel,CoM,1,0.195
320,miura,edge,h + f,hist,id,id,2,0.196
321,rsd,edge,huang,id,id,id,1,0.196
322,miura,edge,huang,hist,id,CoM,1,0.196
323,rsd,fing,huang,hist,skel,id,1,0.196
324,miura,fing,huang,hist,id,id,2,0.196
325,skel,edge,id,id,skel,CoM,2,0.196
326,hd,edge,trans,hist,skel,id,2,0.197
327,miura,edge,id,id,id,CoM,1,0.197
328,rsd,edge,h + f,hist,id,CoM,1,0.197
329,miura,edge,id,id,skel,CoM,2,0.197
330,rsd,edge,trans,hist,skel,CoM,2,0.197
331,miura,edge,id,hist,id,CoM,1,0.197
332,rsd,fing,trans,hist,skel,id,1,0.198
333,rsd,edge,huang,hist,id,CoM,1,0.198
334,skel,fing,trans,id,id,miura,1,0.198
335,miura,edge,trans,hist,id,id,2,0.2
336,rsd,fing,huang,hist,id,id,2,0.2
337,hd,edge,huang,id,id,miura,2,0.2
338,rsd,edge,huang,hist,id,id,2,0.2
339,miura,fing,h + f,id,skel,id,2,0.2
340,miura,fing,id,id,id,id,2,0.2
341,hd,edge,huang,hist,skel,id,1,0.2
342,miura,fing,trans,hist,id,id,2,0.201
343,rsd,fing,id,id,skel,id,2,0.201
344,skel,fing,id,hist,skel,id,2,0.201
345,hd,edge,h + f,hist,skel,id,2,0.201
346,miura,edge,h + f,id,id,id,1,0.202
347,miura,edge,trans,hist,id,id,1,0.202
348,rsd,fing,id,id,skel,id,1,0.202
349,miura,fing,id,id,skel,id,1,0.202
350,rsd,edge,h + f,hist,id,id,1,0.202
351,skel,edge,trans,hist,skel,CoM,2,0.202
352,rsd,edge,id,hist,id,CoM,1,0.204
353,miura,edge,id,hist,skel,id,2,0.204
354,miura,edge,trans,id,id,CoM,1,0.204
355,rsd,edge,trans,hist,id,id,2,0.204
356,hd,edge,huang,hist,skel,id,2,0.204
357,miura,fing,trans,id,skel,id,2,0.204
358,skel,fing,huang,id,id,miura,1,0.204
359,rsd,edge,trans,hist,id,CoM,1,0.205
360,hd,fing,h + f,hist,skel,id,1,0.205
361,miura,fing,id,id,id,id,1,0.205
362,hd,edge,huang,id,skel,id,1,0.205
363,hd,fing,trans,hist,skel,id,2,0.205
364,rsd,edge,h + f,id,id,id,1,0.205
365,rsd,fing,h + f,hist,skel,id,2,0.206
366,rsd,edge,h + f,hist,id,id,2,0.206
367,miura,edge,trans,id,id,id,2,0.206
368,rsd,fing,huang,id,skel,id,2,0.207
369,rsd,edge,trans,id,id,id,2,0.207
370,miura,edge,huang,id,id,CoM,1,0.207
371,skel,fing,trans,hist,skel,id,2,0.207
372,miura,edge,h + f,id,id,CoM,1,0.207
373,rsd,edge,id,id,id,CoM,1,0.207
374,miura,edge,huang,id,skel,CoM,2,0.207
375,skel,edge,huang,id,skel,CoM,2,0.207
376,rsd,fing,trans,hist,id,id,2,0.209
377,skel,edge,trans,id,skel,CoM,2,0.209
378,miura,edge,h + f,id,skel,CoM,2,0.209
379,miura,edge,trans,hist,id,CoM,1,0.209
380,rsd,fing,h + f,hist,id,id,1,0.209
381,hd,fing,huang,hist,skel,id,1,0.21
382,miura,fing,h + f,hist,skel,id,1,0.21
383,hd,edge,id,hist,skel,CoM,1,0.21
384,skel,edge,h + f,id,skel,CoM,2,0.21
385,rsd,fing,id,id,id,id,2,0.21
386,hd,fing,trans,hist,skel,id,1,0.21
387,skel,fing,huang,id,skel,id,2,0.21
388,hd,edge,trans,hist,id,miura,2,0.21
389,rsd,edge,trans,id,id,CoM,1,0.21
390,miura,edge,trans,id,skel,CoM,2,0.211
391,hd,edge,h + f,id,skel,id,1,0.211
392,hd,edge,h + f,hist,skel,id,1,0.211
393,rsd,edge,huang,id,id,CoM,1,0.211
394,rsd,edge,h + f,id,id,CoM,1,0.211
395,rsd,fing,id,id,id,id,1,0.211
396,skel,fing,id,id,skel,id,2,0.212
397,hd,edge,h + f,hist,skel,CoM,1,0.214
398,rsd,fing,huang,hist,id,id,1,0.214
399,miura,edge,trans,id,id,id,1,0.215
400,hd,edge,id,id,id,miura,2,0.215
401,rsd,edge,huang,id,id,id,2,0.215
402,miura,fing,huang,id,id,id,2,0.215
403,miura,edge,h + f,id,id,CoM,2,0.215
404,rsd,edge,trans,hist,id,id,1,0.215
405,miura,edge,h + f,id,id,id,2,0.216
406,hd,edge,id,hist,id,miura,2,0.216
407,hd,edge,id,id,skel,CoM,1,0.216
408,rsd,edge,id,hist,skel,id,2,0.216
409,miura,edge,huang,id,id,CoM,2,0.216
410,miura,fing,huang,hist,skel,id,1,0.216
411,miura,edge,id,hist,skel,id,1,0.216
412,rsd,edge,trans,id,id,id,1,0.217
413,miura,edge,trans,hist,id,CoM,2,0.217
414,hd,fing,h + f,hist,skel,id,2,0.217
415,miura,edge,h + f,hist,id,CoM,2,0.217
416,miura,fing,h + f,hist,id,id,2,0.217
417,hd,fing,id,id,skel,id,2,0.217
418,rsd,fing,h + f,id,skel,id,1,0.219
419,rsd,fing,huang,id,skel,id,1,0.219
420,miura,edge,huang,hist,id,CoM,2,0.22
421,miura,edge,huang,id,id,id,2,0.22
422,skel,fing,h + f,hist,skel,id,2,0.22
423,miura,fing,huang,hist,id,id,1,0.221
424,hd,edge,trans,hist,skel,id,1,0.221
425,rsd,fing,trans,id,skel,id,2,0.221
426,hd,edge,trans,id,skel,id,2,0.222
427,rsd,edge,id,hist,skel,id,1,0.222
428,skel,fing,h + f,id,skel,id,2,0.222
429,rsd,edge,huang,hist,id,CoM,2,0.222
430,miura,edge,id,id,id,CoM,2,0.222
431,hd,edge,huang,hist,skel,CoM,1,0.222
432,rsd,edge,id,id,id,CoM,2,0.224
433,skel,edge,id,hist,skel,id,2,0.224
434,rsd,edge,h + f,hist,id,CoM,2,0.224
435,rsd,edge,h + f,id,id,id,2,0.225
436,hd,edge,huang,id,skel,id,2,0.225
437,miura,fing,trans,id,id,id,2,0.225
438,miura,edge,id,hist,id,CoM,2,0.225
439,hd,edge,h + f,id,skel,id,2,0.226
440,rsd,edge,huang,id,id,CoM,2,0.226
441,miura,fing,h + f,hist,id,id,1,0.226
442,rsd,edge,id,hist,id,CoM,2,0.227
443,hd,edge,trans,hist,skel,CoM,1,0.227
444,skel,fing,trans,id,skel,id,2,0.227
